year,team_abb,player,college,round,pick,official_key
1995,MIN,Mark Davis,Texas Tech,2,48,"Mark Davis, 1995"
1995,MIN,Jerome Allen,Penn,2,49,"Jerome Allen, 1995"
1995,GSW,Martin Lewis,Seward County Community College,2,50,"Martin Lewis, 1995"
1995,SAC,Dejan Bodiroga,No US College,2,51,"Dejan Bodiroga, 1995"
1995,IND,Fred Hoiberg,Iowa State,2,52,"Fred Hoiberg, 1995"
1995,LAC,Constantin Popa,Miami (FL),2,53,"Constantin Popa, 1995"
1995,SEA,Aurelijius Zukauskas,No US College,2,54,"Aurelijius Zukauskas, 1995"
1995,GSW,Michael McDonald,New Orleans,2,55,"Michael McDonald, 1995"
1995,PHO,Chris Carr,Southern Illinois,2,56,"Chris Carr, 1995"
1995,ATL,Cuonzo Martin,Purdue,2,57,"Cuonzo Martin, 1995"
1995,DET,Don Reid,Georgetown,2,58,"Don Reid, 1995"
1996,PHI,Allen Iverson,Georgetown,1,1,"Allen Iverson, 1996"
1996,TOR,Marcus Camby,UMass,1,2,"Marcus Camby, 1996"
1996,VAN,Shareef Abdur-Rahim,California,1,3,"Shareef Abdur-Rahim, 1996"
1996,MIL,Stephon Marbury,Georgia Tech,1,4,"Stephon Marbury, 1996"
1996,MIN,Ray Allen,UConn,1,5,"Ray Allen, 1996"
1996,BOS,Antoine Walker,Kentucky,1,6,"Antoine Walker, 1996"
1996,LAC,Lorenzen Wright,Memphis,1,7,"Lorenzen Wright, 1996"
1996,NJN,Kerry Kittles,Villanova,1,8,"Kerry Kittles, 1996"
1996,DAL,Samaki Walker,Louisville,1,9,"Samaki Walker, 1996"
1996,IND,Erick Dampier,Mississippi State,1,10,"Erick Dampier, 1996"
1996,GSW,Todd Fuller,NC State,1,11,"Todd Fuller, 1996"
1996,CLE,Vitaly Potapenko,Wright State University,1,12,"Vitaly Potapenko, 1996"
1996,CHH,Kobe Bryant,No US College,1,13,"Kobe Bryant, 1996"
1996,SAC,Peja Stojaković,No US College,1,14,"Peja Stojaković, 1996"
1996,PHO,Steve Nash,Santa Clara,1,15,"Steve Nash, 1996"
1996,CHH,Tony Delk,Kentucky,1,16,"Tony Delk, 1996"
1996,POR,Jermaine O'Neal,No US College,1,17,"Jermaine O'Neal, 1996"
1996,NYK,John Wallace,Syracuse,1,18,"John Wallace, 1996"
1996,NYK,Walter McCarty,Kentucky,1,19,"Walter McCarty, 1996"
1996,CLE,Zydrunas Ilgauskas,No US College,1,20,"Zydrunas Ilgauskas, 1996"
1996,NYK,Dontae' Jones,Mississippi State,1,21,"Dontae' Jones, 1996"
1996,VAN,Roy Rogers,Alabama,1,22,"Roy Rogers, 1996"
1996,DEN,Efthimios Rentzias,No US College,1,23,"Efthimios Rentzias, 1996"
1996,LAL,Derek Fisher,Little Rock,1,24,"Derek Fisher, 1996"
1996,UTA,Martin Müürsepp,No US College,1,25,"Martin Müürsepp, 1996"
1996,DET,Jerome Williams,Georgetown,1,26,"Jerome Williams, 1996"
1996,ORL,Brian Evans,Indiana,1,27,"Brian Evans, 1996"
1996,ATL,Priest Lauderdale,Central State University,1,28,"Priest Lauderdale, 1996"
1996,CHI,Travis Knight,UConn,1,29,"Travis Knight, 1996"
1996,HOU,Othella Harrington,Georgetown,2,30,"Othella Harrington, 1996"
1996,PHI,Mark Hendrickson,Washington State,2,31,"Mark Hendrickson, 1996"
1996,PHI,Ryan Minor,Oklahoma,2,32,"Ryan Minor, 1996"
1996,MIL,Moochie Norris,University of West Florida,2,33,"Moochie Norris, 1996"
1996,DAL,Shawn Harvey,West Virginia State University,2,34,"Shawn Harvey, 1996"
1996,SEA,Joseph Blair,Arizona,2,35,"Joseph Blair, 1996"
1996,LAC,Doron Sheffer,UConn,2,36,"Doron Sheffer, 1996"
1996,DEN,Jeff McInnis,UNC,2,37,"Jeff McInnis, 1996"
1996,BOS,Steve Hamer,Tennessee,2,38,"Steve Hamer, 1996"
1996,PHO,Russ Millard,Iowa,2,39,"Russ Millard, 1996"
1996,GSW,Marcus Mann,Mississippi Valley State University,2,40,"Marcus Mann, 1996"
1996,SAC,Jason Sasser,Texas Tech,2,41,"Jason Sasser, 1996"
1996,HOU,Randy Livingston,LSU,2,42,"Randy Livingston, 1996"
1996,PHO,Ben Davis,Arizona,2,43,"Ben Davis, 1996"
1996,CHH,Malik Rose,Drexel,2,44,"Malik Rose, 1996"
1996,SEA,Joe Vogel,Colorado State,2,45,"Joe Vogel, 1996"
1996,POR,Marcus Brown,Murray State,2,46,"Marcus Brown, 1996"
1996,SEA,Ron Riley,Arizona State,2,47,"Ron Riley, 1996"
1996,PHI,Jamie Feick,Michigan State,2,48,"Jamie Feick, 1996"
1996,ORL,Amal McCaskill,Marquette,2,49,"Amal McCaskill, 1996"
1996,HOU,Terrell Bell,Georgia,2,50,"Terrell Bell, 1996"
1996,VAN,Chris Robinson,Western Kentucky,2,51,"Chris Robinson, 1996"
1996,IND,Mark Pope,Kentucky,2,52,"Mark Pope, 1996"
1996,MIL,Jeff Nordgaard,Green Bay,2,53,"Jeff Nordgaard, 1996"
1996,UTA,Shandon Anderson,Georgia,2,54,"Shandon Anderson, 1996"
1996,WSB,Ronnie Henderson,LSU,2,55,"Ronnie Henderson, 1996"
1996,CLE,Reggie Geary,Arizona,2,56,"Reggie Geary, 1996"
