year,team_abb,player,college,round,pick,official_key
1991,HOU,Žan Tabak,No US College,2,51,"Žan Tabak, No US College, 1991"
1991,LAL,Anthony Jones,Oral Roberts,2,52,"Anthony Jones, Oral Roberts, 1991"
1991,NJN,Von McDade,UW-Milwaukee,2,53,"Von McDade, UW-Milwaukee, 1991"
1991,POR,Marcus Kennedy,Eastern Michigan,2,54,"Marcus Kennedy, Eastern Michigan, 1991"
1992,ORL,Shaquille O'Neal,LSU,1,1,"Shaquille O'Neal, LSU, 1992"
1992,CHH,Alonzo Mourning,Georgetown,1,2,"Alonzo Mourning, Georgetown, 1992"
1992,MIN,Christian Laettner,Duke,1,3,"Christian Laettner, Duke, 1992"
1992,DAL,Jim Jackson,Ohio State,1,4,"Jim Jackson, Ohio State, 1992"
1992,DEN,LaPhonso Ellis,Notre Dame,1,5,"LaPhonso Ellis, Notre Dame, 1992"
1992,WSB,Tom Gugliotta,NC State,1,6,"Tom Gugliotta, NC State, 1992"
1992,SAC,Walt Williams,Maryland,1,7,"Walt Williams, Maryland, 1992"
1992,MIL,Todd Day,Arkansas,1,8,"Todd Day, Arkansas, 1992"
1992,PHI,Clarence Weatherspoon,Southern Miss,1,9,"Clarence Weatherspoon, Southern Miss, 1992"
1992,ATL,Adam Keefe,Stanford,1,10,"Adam Keefe, Stanford, 1992"
1992,HOU,Robert Horry,Alabama,1,11,"Robert Horry, Alabama, 1992"
1992,MIA,Harold Miner,USC,1,12,"Harold Miner, USC, 1992"
1992,DEN,Bryant Stith,Virginia,1,13,"Bryant Stith, Virginia, 1992"
1992,IND,Malik Sealy,St. John's,1,14,"Malik Sealy, St. John's, 1992"
1992,LAL,Anthony Peeler,Missouri,1,15,"Anthony Peeler, Missouri, 1992"
1992,LAC,Randy Woods,La Salle,1,16,"Randy Woods, La Salle, 1992"
1992,SEA,Doug Christie,Pepperdine,1,17,"Doug Christie, Pepperdine, 1992"
1992,SAS,Tracy Murray,UCLA,1,18,"Tracy Murray, UCLA, 1992"
1992,DET,Don MacLean,UCLA,1,19,"Don MacLean, UCLA, 1992"
1992,NYK,Hubert Davis,UNC,1,20,"Hubert Davis, UNC, 1992"
1992,BOS,Jon Barry,Georgia Tech,1,21,"Jon Barry, Georgia Tech, 1992"
1992,PHO,Oliver Miller,Arkansas,1,22,"Oliver Miller, Arkansas, 1992"
1992,MIL,Lee Mayberry,Arkansas,1,23,"Lee Mayberry, Arkansas, 1992"
1992,GSW,Latrell Sprewell,Alabama,1,24,"Latrell Sprewell, Alabama, 1992"
1992,LAC,Elmore Spencer,UNLV,1,25,"Elmore Spencer, UNLV, 1992"
1992,POR,Dave Johnson,Syracuse,1,26,"Dave Johnson, Syracuse, 1992"
1992,CHI,Byron Houston,Oklahoma State,1,27,"Byron Houston, Oklahoma State, 1992"
1992,MIN,Marlon Maxey,Texas-El Paso,2,28,"Marlon Maxey, Texas-El Paso, 1992"
1992,NJN,P.J. Brown,Louisiana Tech,2,29,"P.J. Brown, Louisiana Tech, 1992"
1992,DAL,Sean Rooks,Arizona,2,30,"Sean Rooks, Arizona, 1992"
1992,POR,Reggie Smith,TCU,2,31,"Reggie Smith, TCU, 1992"
1992,WSB,Brent Price,Oklahoma,2,32,"Brent Price, Oklahoma, 1992"
1992,CHI,Corey Williams,Oklahoma State,2,33,"Corey Williams, Oklahoma State, 1992"
1992,MIN,Chris Smith,UConn,2,34,"Chris Smith, UConn, 1992"
1992,CHH,Tony Bennett,Green Bay,2,35,"Tony Bennett, Green Bay, 1992"
1992,LAL,Duane Cooper,USC,2,36,"Duane Cooper, USC, 1992"
1992,MIA,Isaiah Morris,Arkansas,2,37,"Isaiah Morris, Arkansas, 1992"
1992,ATL,Elmer Bennett,Notre Dame,2,38,"Elmer Bennett, Notre Dame, 1992"
1992,CHI,Litterial Green,Georgia,2,39,"Litterial Green, Georgia, 1992"
1992,NJN,Steve Rogers,Alabama State University,2,40,"Steve Rogers, Alabama State University, 1992"
1992,HOU,Popeye Jones,Murray State,2,41,"Popeye Jones, Murray State, 1992"
1992,MIA,Matt Geiger,Georgia Tech,2,42,"Matt Geiger, Georgia Tech, 1992"
1992,GSW,Sasha Danilović,No US College,2,43,"Sasha Danilović, No US College, 1992"
1992,SAS,Henry Williams,UNC Charlotte,2,44,"Henry Williams, UNC Charlotte, 1992"
1992,SEA,Chris King,Wake Forest,2,45,"Chris King, Wake Forest, 1992"
1992,DEN,Robert Werdann,St. John's,2,46,"Robert Werdann, St. John's, 1992"
1992,BOS,Darren Morningstar,Pitt,2,47,"Darren Morningstar, Pitt, 1992"
1992,PHO,Brian Davis,Duke,2,48,"Brian Davis, Duke, 1992"
1992,PHO,Ron Ellis,Louisiana Tech,2,49,"Ron Ellis, Louisiana Tech, 1992"
1992,GSW,Matt Fish,UNC Wilmington,2,50,"Matt Fish, UNC Wilmington, 1992"
1992,MIN,Tim Burroughs,Jacksonville University,2,51,"Tim Burroughs, Jacksonville University, 1992"
1992,CHI,Matt Steigenga,Michigan State,2,52,"Matt Steigenga, Michigan State, 1992"
1992,HOU,Curtis Blair,Richmond,2,53,"Curtis Blair, Richmond, 1992"
1992,SAC,Brett Roberts,Morehead State University,2,54,"Brett Roberts, Morehead State University, 1992"
1993,ORL,Chris Webber,Michigan,1,1,"Chris Webber, Michigan, 1993"
1993,PHI,Shawn Bradley,BYU,1,2,"Shawn Bradley, BYU, 1993"
1993,GSW,Anfernee Hardaway,Memphis,1,3,"Anfernee Hardaway, Memphis, 1993"
1993,DAL,Jamal Mashburn,Kentucky,1,4,"Jamal Mashburn, Kentucky, 1993"
1993,MIN,Isaiah Rider,UNLV,1,5,"Isaiah Rider, UNLV, 1993"
1993,WSB,Calbert Cheaney,Indiana,1,6,"Calbert Cheaney, Indiana, 1993"
1993,SAC,Bobby Hurley,Duke,1,7,"Bobby Hurley, Duke, 1993"
1993,MIL,Vin Baker,University of Hartford,1,8,"Vin Baker, University of Hartford, 1993"
1993,DEN,Rodney Rogers,Wake Forest,1,9,"Rodney Rogers, Wake Forest, 1993"
1993,DET,Lindsey Hunter,Jackson State University,1,10,"Lindsey Hunter, Jackson State University, 1993"
1993,DET,Allan Houston,Tennessee,1,11,"Allan Houston, Tennessee, 1993"
1993,LAL,George Lynch,UNC,1,12,"George Lynch, UNC, 1993"
1993,LAC,Terry Dehere,Seton Hall,1,13,"Terry Dehere, Seton Hall, 1993"
1993,IND,Scott Haskin,Oregon State,1,14,"Scott Haskin, Oregon State, 1993"
1993,ATL,Doug Edwards,Florida State,1,15,"Doug Edwards, Florida State, 1993"
1993,NJN,Rex Walters,Kansas,1,16,"Rex Walters, Kansas, 1993"
1993,CHH,Greg Graham,Indiana,1,17,"Greg Graham, Indiana, 1993"
1993,UTA,Luther Wright,Seton Hall,1,18,"Luther Wright, Seton Hall, 1993"
1993,BOS,Acie Earl,Iowa,1,19,"Acie Earl, Iowa, 1993"
1993,CHH,Scott Burrell,UConn,1,20,"Scott Burrell, UConn, 1993"
1993,POR,James Robinson,Alabama,1,21,"James Robinson, Alabama, 1993"
1993,CLE,Chris Mills,Arizona,1,22,"Chris Mills, Arizona, 1993"
1993,SEA,Ervin Johnson,New Orleans,1,23,"Ervin Johnson, New Orleans, 1993"
1993,HOU,Sam Cassell,Florida State,1,24,"Sam Cassell, Florida State, 1993"
1993,CHI,Corie Blount,Cincinnati,1,25,"Corie Blount, Cincinnati, 1993"
1993,ORL,Geert Hammink,LSU,1,26,"Geert Hammink, LSU, 1993"
1993,PHO,Malcolm Mackey,Georgia Tech,1,27,"Malcolm Mackey, Georgia Tech, 1993"
1993,DAL,Lucious Harris,Cal State Long Beach,2,28,"Lucious Harris, Cal State Long Beach, 1993"
1993,MIN,Sherron Mills,VCU,2,29,"Sherron Mills, VCU, 1993"
1993,WSB,Gheorghe Mureșan,No US College,2,30,"Gheorghe Mureșan, No US College, 1993"
1993,SAC,Evers Burns,Maryland,2,31,"Evers Burns, Maryland, 1993"
1993,PHI,Alphonso Ford,Mississippi Valley State University,2,32,"Alphonso Ford, Mississippi Valley State University, 1993"
1993,DAL,Eric Riley,Michigan,2,33,"Eric Riley, Michigan, 1993"
1993,GSW,Darnell Mee,Western Kentucky,2,34,"Darnell Mee, Western Kentucky, 1993"
1993,MIA,Ed Stokes,Arizona,2,35,"Ed Stokes, Arizona, 1993"
1993,NJN,John Best,Tennessee Technological University,2,36,"John Best, Tennessee Technological University, 1993"
1993,LAL,Nick Van Exel,Cincinnati,2,37,"Nick Van Exel, Cincinnati, 1993"
1993,WSB,Conrad McRae,Syracuse,2,38,"Conrad McRae, Syracuse, 1993"
1993,IND,Thomas Hill,Duke,2,39,"Thomas Hill, Duke, 1993"
1993,ATL,Rich Manning,Washington,2,40,"Rich Manning, Washington, 1993"
1993,CHI,Anthony Reed,Tulane,2,41,"Anthony Reed, Tulane, 1993"
1993,SEA,Adonis Jordan,Kansas,2,42,"Adonis Jordan, Kansas, 1993"
1993,DEN,Josh Grant,Utah,2,43,"Josh Grant, Utah, 1993"
1993,SAC,Alex Holcombe,Baylor,2,44,"Alex Holcombe, Baylor, 1993"
1993,UTA,Bryon Russell,Cal State Long Beach,2,45,"Bryon Russell, Cal State Long Beach, 1993"
1993,HOU,Richard Petruška,UCLA,2,46,"Richard Petruška, UCLA, 1993"
1993,SAS,Chris Whitney,Clemson,2,47,"Chris Whitney, Clemson, 1993"
1993,POR,Kevin Thompson,NC State,2,48,"Kevin Thompson, NC State, 1993"
1993,PHO,Mark Buford,Mississippi Valley State University,2,49,"Mark Buford, Mississippi Valley State University, 1993"
1993,HOU,Marcelo Nicola,No US College,2,50,"Marcelo Nicola, No US College, 1993"
1993,IND,Spencer Dunkley,University of Delaware,2,51,"Spencer Dunkley, University of Delaware, 1993"
1993,SAC,Mike Peplowski,Michigan State,2,52,"Mike Peplowski, Michigan State, 1993"
1993,LAC,Leonard White,Southern University and A&M College,2,53,"Leonard White, Southern University and A&M College, 1993"
1993,PHO,Byron Wilson,Utah,2,54,"Byron Wilson, Utah, 1993"
1994,MIL,Glenn Robinson,Purdue,1,1,"Glenn Robinson, Purdue, 1994"
1994,DAL,Jason Kidd,California,1,2,"Jason Kidd, California, 1994"
1994,DET,Grant Hill,Duke,1,3,"Grant Hill, Duke, 1994"
1994,MIN,Donyell Marshall,UConn,1,4,"Donyell Marshall, UConn, 1994"
1994,WSB,Juwan Howard,Michigan,1,5,"Juwan Howard, Michigan, 1994"
1994,PHI,Sharone Wright,Clemson,1,6,"Sharone Wright, Clemson, 1994"
1994,LAC,Lamond Murray,California,1,7,"Lamond Murray, California, 1994"
1994,SAC,Brian Grant,Xavier,1,8,"Brian Grant, Xavier, 1994"
1994,BOS,Eric Montross,UNC,1,9,"Eric Montross, UNC, 1994"
1994,LAL,Eddie Jones,Temple,1,10,"Eddie Jones, Temple, 1994"
1994,SEA,Carlos Rogers,Tennessee State,1,11,"Carlos Rogers, Tennessee State, 1994"
1994,MIA,Khalid Reeves,Arizona,1,12,"Khalid Reeves, Arizona, 1994"
1994,DEN,Jalen Rose,Michigan,1,13,"Jalen Rose, Michigan, 1994"
1994,NJN,Yinka Dare,George Washington,1,14,"Yinka Dare, George Washington, 1994"
1994,IND,Eric Piatkowski,Nebraska,1,15,"Eric Piatkowski, Nebraska, 1994"
1994,GSW,Clifford Rozier,Louisville,1,16,"Clifford Rozier, Louisville, 1994"
1994,POR,Aaron McKie,Temple,1,17,"Aaron McKie, Temple, 1994"
1994,MIL,Eric Mobley,Pitt,1,18,"Eric Mobley, Pitt, 1994"
1994,DAL,Tony Dumas,Missouri-Kansas City,1,19,"Tony Dumas, Missouri-Kansas City, 1994"
1994,PHI,B.J. Tyler,Texas,1,20,"B.J. Tyler, Texas, 1994"
1994,CHI,Dickey Simpkins,Providence,1,21,"Dickey Simpkins, Providence, 1994"
1994,SAS,Bill Curley,Boston College,1,22,"Bill Curley, Boston College, 1994"
1994,PHO,Wesley Person,Auburn,1,23,"Wesley Person, Auburn, 1994"
1994,NYK,Monty Williams,Notre Dame,1,24,"Monty Williams, Notre Dame, 1994"
1994,LAC,Greg Minor,Louisville,1,25,"Greg Minor, Louisville, 1994"
1994,NYK,Charlie Ward,Florida State,1,26,"Charlie Ward, Florida State, 1994"
1994,ORL,Brooks Thompson,Oklahoma State,1,27,"Brooks Thompson, Oklahoma State, 1994"
1994,DAL,Deon Thomas,Illinois,2,28,"Deon Thomas, Illinois, 1994"
1994,PHO,Antonio Lang,Duke,2,29,"Antonio Lang, Duke, 1994"
1994,MIN,Howard Eisley,Boston College,2,30,"Howard Eisley, Boston College, 1994"
1994,ORL,Rodney Dent,Kentucky,2,31,"Rodney Dent, Kentucky, 1994"
1994,WSB,Jim McIlvaine,Marquette,2,32,"Jim McIlvaine, Marquette, 1994"
1994,PHI,Derrick Alston,Duquesne,2,33,"Derrick Alston, Duquesne, 1994"
1994,ATL,Gaylon Nickerson,Northwestern Oklahoma State University,2,34,"Gaylon Nickerson, Northwestern Oklahoma State University, 1994"
1994,SAC,Michael Smith,Providence,2,35,"Michael Smith, Providence, 1994"
1994,BOS,Andrei Fetisov,No US College,2,36,"Andrei Fetisov, No US College, 1994"
1994,SEA,Dontonio Wingfield,Cincinnati,2,37,"Dontonio Wingfield, Cincinnati, 1994"
1994,CHH,Darrin Hancock,Kansas,2,38,"Darrin Hancock, Kansas, 1994"
