,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,2000-01,Mercer,TAAC,28,7,,,,0.45399999999999996,,,0.5329999999999999,,,0.44299999999999995,,,0.654,,,,,,,,Josh Sagester
2,Career,Mercer,,61,40,,,,0.425,,,0.529,,,0.408,,,0.619,,,,,,,,Josh Sagester
0,2019-20,Marist,MAAC,30,23,716,4.5,12.1,0.37,1.5,3.8,0.382,3.0,8.3,0.365,2.2,2.7,0.816,2.8,1.2,1.1,0.1,2.0,3.4,14.2,Tyler Sagl
1,Career,Marist,,30,23,716,4.5,12.1,0.37,1.5,3.8,0.382,3.0,8.3,0.365,2.2,2.7,0.816,2.8,1.2,1.1,0.1,2.0,3.4,14.2,Tyler Sagl
0,2016-17,Fordham,A-10,11,0,28,2.9,10.0,0.28600000000000003,2.9,2.9,1.0,0.0,7.1,0.0,1.4,1.4,1.0,5.7,2.9,0.0,1.4,2.9,4.3,7.1,Sinan Saglam
1,Career,Fordham,,11,0,28,2.9,10.0,0.28600000000000003,2.9,2.9,1.0,0.0,7.1,0.0,1.4,1.4,1.0,5.7,2.9,0.0,1.4,2.9,4.3,7.1,Sinan Saglam
0,2003-04,South Carolina State,MEAC,8,0,11,0.0,14.5,0.0,0.0,14.5,0.0,0.0,0.0,,0.0,0.0,,0.0,10.9,0.0,3.6,0.0,3.6,0.0,William Sago
1,2005-06,South Carolina State,MEAC,30,11,603,3.8,9.2,0.413,2.5,5.1,0.48100000000000004,1.3,4.0,0.32799999999999996,2.3,2.9,0.773,2.3,1.5,1.0,0.1,2.3,2.3,11.1,William Sago
2,2006-07,South Carolina State,MEAC,28,1,200,4.0,10.0,0.4,2.0,4.6,0.435,2.0,5.4,0.37,1.8,3.2,0.563,2.4,3.2,0.6,0.2,3.4,3.4,11.8,William Sago
3,Career,South Carolina State,,66,12,814,3.8,9.4,0.401,2.3,5.1,0.452,1.5,4.3,0.341,2.1,2.9,0.7170000000000001,2.3,2.1,0.9,0.1,2.6,2.6,11.2,William Sago
0,2007-08,Sacred Heart,NEC,29,0,248,3.9,7.6,0.511,3.9,6.9,0.5579999999999999,0.0,0.6,0.0,1.1,1.9,0.583,7.6,0.6,1.8,0.8,1.5,4.5,8.9,Mehmet Sahan
1,2008-09,Sacred Heart,NEC,31,11,508,4.6,8.7,0.527,4.6,8.7,0.527,0.0,0.0,,2.0,3.7,0.532,8.0,1.9,2.0,1.5,2.8,5.3,11.1,Mehmet Sahan
2,2009-10,Sacred Heart,NEC,29,26,556,4.5,9.3,0.48100000000000004,4.4,9.1,0.48,0.1,0.1,0.5,1.6,2.2,0.71,8.9,1.4,1.2,0.8,2.7,4.9,10.6,Mehmet Sahan
3,2010-11,Sacred Heart,NEC,11,2,87,2.3,3.2,0.7140000000000001,2.3,3.2,0.7140000000000001,0.0,0.0,,1.4,3.7,0.375,4.6,1.4,0.0,0.9,2.8,6.9,6.0,Mehmet Sahan
4,Career,Sacred Heart,,100,39,1399,4.3,8.4,0.509,4.2,8.2,0.516,0.0,0.2,0.16699999999999998,1.6,2.8,0.5820000000000001,8.1,1.5,1.5,1.1,2.5,5.1,10.2,Mehmet Sahan
0,2010-11,UC-Riverside,Big West,14,1,100,2.0,9.2,0.217,0.4,2.8,0.14300000000000002,1.6,6.4,0.25,0.0,0.4,0.0,2.0,0.4,0.0,0.0,0.8,0.8,5.6,Andy Saharan
1,Career,UC-Riverside,,14,1,100,2.0,9.2,0.217,0.4,2.8,0.14300000000000002,1.6,6.4,0.25,0.0,0.4,0.0,2.0,0.4,0.0,0.0,0.8,0.8,5.6,Andy Saharan
0,2011-12,Jacksonville,A-Sun,24,1,129,2.2,7.4,0.292,1.9,6.8,0.273,0.3,0.6,0.5,2.2,3.4,0.636,4.3,0.9,1.9,0.0,3.7,5.0,6.8,Admir Sahbegovic
